词语,全拼音,词性,句首,主语,宾语,谓语,定语,状语,补语,兼类,备注
年富力强,nian2fu4li4qiang2,IV,,,,谓,定,,,,"这批干部~,可以领导大家大干一番"
宁缺毋滥,ning4que1wu2lan4,IV,,,,谓,定,,,,"选劳模,选标兵,要严格地挑选,~/本着~的精神选优秀干部"
宁死不屈,ning2si3bu4qu1,IV,,,,谓,定,,,,
牛郎织女,niu2lang2zhi1nv3,IN,,主,宾,,定,,,,"~的故事,大人小孩都知道"
弄虚作假,nong4xu1zuo4jia3,IV,,,宾,谓,定,,,,反对~
怒目而视,nu4mu4er2shi4,IV,,,,谓,,,,,
呕心沥血,ou3xin1li4xue4,IV,,,,谓,,,,,他为中国的富强~
旁观者清,pang2guan1zhe3qing1,IV,,,,谓,,,,,这事~
刨根问底,pao2gen1wen4di3,IV,,,宾,谓,,状,,,这小孩喜欢~/他~地追问
偏听偏信,pian1ting1pian1xin4,IV,,主,宾,谓,定,,,,~往往会作出错误的决策/~的人也有不少
贫病交加,pin2bing4jiao1jia1,IV,,,,谓,定,,,,"这位老人~,生活很不幸/~的老人"
平步青云,ping2bu4qing1yun2,IV,,,宾,谓,,,,,"他原来是小组长,这次一下当上了厂长真算是~了"
平起平坐,ping2qi3ping2zuo4,IV,,,宾,谓,,,,,男人和女人应该~
平易近人,ping2yi4jin4ren2,IV,,,宾,谓,定,,,,"你和别人相处,需要~"
迫在眉睫,po4zai4mei2jie2,IV,,,,谓,定,,,,"~的大事,应该立即去干了"
破釜沉舟,po4fu3chen2zhou1,IV,,,宾,谓,定,状,,,他们准备~血战到底/我们只好~了
